town,trade,issued_date,street_masked,valuation
Amherst,Building,2026-08-31,Aubinwood Road,10000.0
Amherst,Roofing,2026-08-31,North Pleasant Street,13950.19
Amherst,Roofing,2026-08-31,North Pleasant Street,52400.1
Amherst,Building,2026-08-31,Paige Street,3166.27
Amherst,Windows/Doors/Siding,2026-08-31,Phillips Street,15000.0
Amherst,Windows/Doors/Siding,2026-08-31,Leverett Road,75000.0
Amherst,Building,2026-08-31,South East Street,2500.0
Amherst,Building,2026-08-28,High Point Drive,5000.0
Amherst,Renovation/Remodel,2026-08-28,University Drive,207956.0
Amherst,Windows/Doors/Siding,2026-08-28,Aubinwood Road,18869.0
Amherst,Building,2026-08-28,East Pleasant Street,11000.0
Amherst,Windows/Doors/Siding,2026-08-28,"East Hadley Road, Unit",7308.0
Amherst,Solar,2026-08-28,Tamarack Drive,
Amherst,HVAC,2026-08-28,Henry Street,29283.0
Amherst,Deck/Porch,2026-08-28,Leverett Road,27000.0
Amherst,Roofing,2026-08-27,"Belchertown Road, Unit Bldg Unit",46583.0
Amherst,Roofing,2026-08-27,Bay Road,17455.0
Amherst,Windows/Doors/Siding,2026-08-27,"College Street, Unit Valentine Hall",26000.0
Amherst,Roofing,2026-08-26,North East Street,24000.0
Amherst,Roofing,2026-08-26,Henry Street,31886.0
Amherst,Windows/Doors/Siding,2026-08-26,East Pleasant Street,2300.0
Amherst,HVAC,2026-08-25,Rolling Ridge Road,5700.0
Amherst,Roofing,2026-08-25,Hulst Road,17650.0
Amherst,Building,2026-08-25,Taylor Street,17000.0
Amherst,Windows/Doors/Siding,2026-08-24,Dayton Lane,5165.0
Amherst,HVAC,2026-08-24,Red Gate Lane,1500.0
Amherst,Building,2026-08-24,Deepwoods Drive,11000.0
Amherst,Deck/Porch,2026-08-24,Hills Road,43288.0
Amherst,Building,2026-08-24,Spencer Drive,
Amherst,Roofing,2026-08-24,Old Farm Road,11400.0
Amherst,Roofing,2026-08-24,South East Street,9633.0
Amherst,Solar,2026-08-24,Middle Street,
Amherst,Building,2026-08-24,Montague Road,1500.0
Amherst,Solar,2026-08-24,Rolling Ridge Road,
Amherst,Windows/Doors/Siding,2026-08-24,Middle Street,20.0
Amherst,Building,2026-08-21,Sand Hill Road,10230.0
Amherst,Windows/Doors/Siding,2026-08-21,High Point Drive,19845.0
Amherst,Windows/Doors/Siding,2026-08-21,Northampton Road,4275.64
Amherst,Roofing,2026-08-21,Farview Way,15500.0
Amherst,Building,2026-08-20,Kingman Road,7000.0
Amherst,Building,2026-08-20,High Point Drive,26286.0
Amherst,Deck/Porch,2026-08-20,East Pleasant Street,16000.0
Amherst,Roofing,2026-08-19,Elf Hill Road,11700.0
Amherst,Windows/Doors/Siding,2026-08-19,Stagecoach Road,39937.0
Amherst,Building,2026-08-19,Triangle Street,4500.0
Amherst,Roofing,2026-08-17,Bay Road,16435.0
Amherst,Fire/Sprinkler,2026-08-17,Shays Street,900.0
Amherst,Building,2026-08-14,Woodlot Road,1279.0
Amherst,HVAC,2026-08-14,Lilac Lane,6000.0
Amherst,Building,2026-08-14,Walnut Street,5000.0
Amherst,Roofing,2026-08-14,Meadow Street,12800.0
Amherst,Kitchen/Bath,2026-08-14,Farmington Road,4000.0
Amherst,Building,2026-08-13,Wintergreen Circle,4332.36
Amherst,Demolition,2026-08-13,Dickinson Street,
Amherst,Building,2026-08-13,Flat Hills Road,17933.0
Amherst,HVAC,2026-08-12,Moorland Street,37000.0
Amherst,HVAC,2026-08-12,Stanley Street,14205.0
Amherst,Roofing,2026-08-12,Wildflower Drive,28304.0
Amherst,Windows/Doors/Siding,2026-08-12,Henry Street,7675.0
Amherst,Roofing,2026-08-11,South East Street,18000.0
Amherst,Roofing,2026-08-11,Larkspur Drive,28400.0
Amherst,Building,2026-08-11,Heatherstone Road,5000.0
Amherst,Kitchen/Bath,2026-08-11,Linden Ridge Road,56000.0
Amherst,Solar,2026-08-11,"Montague Road, Unit Bldg",
Amherst,Roofing,2026-08-10,Moorland Street,4395.32
Amherst,Building,2026-08-10,Forestedge Road,6000.0
Amherst,Building,2026-08-10,Spaulding Street,5200.0
Amherst,Windows/Doors/Siding,2026-08-10,Harlow Drive,19047.35
Amherst,Roofing,2026-08-10,Mount Pleasant Street,4000.0
Amherst,Demolition,2026-08-10,South Pleasant Street,
Amherst,Plumbing,2026-08-10,Northampton Road,
Amherst,Windows/Doors/Siding,2026-08-07,Dickinson Street,9000.0
Amherst,Windows/Doors/Siding,2026-08-07,Bay Road,10965.0
Amherst,Windows/Doors/Siding,2026-08-07,Webster Court,6631.0
Amherst,Roofing,2026-08-07,Laurel Lane,26137.0
Amherst,Windows/Doors/Siding,2026-08-07,Montague Road,7100.0
Amherst,New Construction,2026-08-06,"South Pleasant Street, Unit Alumni Gymnasium",
Amherst,Building,2026-08-06,Gray Street,7364.83
Amherst,Building,2026-08-06,Aubinwood Road,3520.22
Amherst,Building,2026-08-06,North Whitney Street,6000.0
Amherst,Solar,2026-08-06,Owen Drive,
Amherst,Building,2026-08-06,Middle Street,13474.93
Amherst,Windows/Doors/Siding,2026-08-05,"East Hadley Road, Unit",8288.0
Amherst,Windows/Doors/Siding,2026-08-05,Gray Street,1200.0
Amherst,Roofing,2026-08-05,Trillium Way,29507.0
Amherst,Roofing,2026-08-05,Mcclellan Street,14950.0
Amherst,Kitchen/Bath,2026-08-05,Spring Street,12500.0
Amherst,Roofing,2026-08-05,North Pleasant Street,6715.0
Amherst,Sign/Awning,2026-08-05,South Pleasant Street,
Amherst,Roofing,2026-08-05,Main Street,6828.98
Amherst,New Construction,2026-08-05,"Olympia Drive, Unit Bldg",731479.0
Amherst,Windows/Doors/Siding,2026-08-03,Bedford Court,8949.0
Amherst,Building,2026-08-03,High Point Drive,4724.74
Amherst,Roofing,2026-08-03,Wildflower Drive,31110.0
Amherst,Building,2026-08-03,Stagecoach Road,11100.0
Amherst,Windows/Doors/Siding,2026-08-03,"North East Street, Unit",7410.0
Amherst,Building,2026-08-03,Morgan Circle,2327.46
Amherst,Addition,2026-08-03,Wildwood Lane,2359.66
Amherst,Roofing,2026-08-03,Sunderland Road,24000.0
Amherst,HVAC,2026-08-03,Mcclellan Street,8150.0
Amherst,Roofing,2026-08-03,Wildwood Lane,13460.0
Amherst,HVAC,2026-08-03,Logtown Road,22700.0
Amherst,HVAC,2026-08-03,Henry Street,23432.0
Amherst,Windows/Doors/Siding,2026-08-03,South Pleasant Street,12000.0
Amherst,Addition,2026-08-03,Bridge Street,232649.0
Amherst,Roofing,2026-07-30,Western Lane,12360.0
Amherst,Renovation/Remodel,2026-07-30,"East Drive, Unit Science Center",100120.0
Amherst,Building,2026-07-30,Town Common,
Amherst,Building,2026-07-28,Leverett Road,5.0
Amherst,HVAC,2026-07-28,Edgehill Place,4500.0
Amherst,Kitchen/Bath,2026-07-28,Station Road,15000.0
Amherst,Building,2026-07-28,"Johnson Chapel Road, Unit Octagon",49650.0
Amherst,Deck/Porch,2026-07-28,North Whitney Street,2000.0
Amherst,Kitchen/Bath,2026-07-28,Tanglewood Road,30000.0
Amherst,Windows/Doors/Siding,2026-07-24,Jenks Street,9269.0
Amherst,Building,2026-07-24,Sunset Avenue,113400.0
Amherst,HVAC,2026-07-24,Forestedge Road,15000.0
Amherst,Building,2026-07-24,Main Street,3500.0
Amherst,Demolition,2026-07-24,Taylor Street,
Amherst,Windows/Doors/Siding,2026-07-23,Chapel Road,18647.0
Amherst,Windows/Doors/Siding,2026-07-23,Sunset Avenue,45000.0
Amherst,Windows/Doors/Siding,2026-07-23,State Street,28869.0
Amherst,Fire/Sprinkler,2026-07-23,South Pleasant Street,41000.0
Amherst,Solar,2026-07-23,Shays Street,
Amherst,Electrical,2026-07-22,Summerfield Road,20407.0
Amherst,Windows/Doors/Siding,2026-07-22,North Pleasant Street,
Amherst,Solar,2026-07-21,South East Street,
Amherst,Building,2026-07-21,Sunrise Avenue,1000.0
Amherst,Fire/Sprinkler,2026-07-21,North Pleasant Street,1000.0
Amherst,HVAC,2026-07-21,Meadow Street,4500.0
Amherst,Deck/Porch,2026-07-21,Chapel Road,4000.0
Amherst,Building,2026-07-21,Harlow Drive,8706.0
Amherst,Windows/Doors/Siding,2026-07-21,Hunters Hill Circle,47138.0
Amherst,Building,2026-07-21,Bay Road,12303.0
Amherst,Building,2026-07-20,University Drive,14160.92
Amherst,Kitchen/Bath,2026-07-20,Mount Pleasant Street,70500.0
Amherst,Windows/Doors/Siding,2026-07-17,Mechanic Street,46657.0
Amherst,Windows/Doors/Siding,2026-07-17,Linden Ridge Road,3804.0
Amherst,Roofing,2026-07-17,East Pleasant Street,13750.0
Amherst,Windows/Doors/Siding,2026-07-17,Autumn Lane,15355.0
Amherst,Roofing,2026-07-17,Main Street,9438.0
Amherst,Building,2026-07-17,Greenwich Road,1300.0
Amherst,Windows/Doors/Siding,2026-07-17,Wentworth Manor Drive,7200.0
Amherst,Solar,2026-07-17,West Pomeroy Lane,
Amherst,Roofing,2026-07-16,Foxglove Lane,25365.0
Amherst,Windows/Doors/Siding,2026-07-16,Shutesbury Road,36632.0
Amherst,Windows/Doors/Siding,2026-07-15,Mount Pollux Drive,15400.0
Amherst,Deck/Porch,2026-07-15,Forestedge Road,11740.0
Amherst,Windows/Doors/Siding,2026-07-15,Tanglewood Road,6703.0
Amherst,Roofing,2026-07-15,Heatherstone Road,13415.0
Amherst,Renovation/Remodel,2026-07-15,Chesterfield Drive,31550.0
Amherst,Plumbing,2026-07-15,Winston Court,30000.0
Amherst,Deck/Porch,2026-07-15,Taylor Street,4500.0
Amherst,Roofing,2026-07-15,Main Street,4000.0
Amherst,Roofing,2026-07-15,Summer Street,6100.0
Amherst,Kitchen/Bath,2026-07-15,Red Gate Lane,172945.0
Amherst,Building,2026-07-15,Pondview Drive,500000.0
Amherst,HVAC,2026-07-09,Applewood Lane,33000.0
Amherst,Electrical,2026-07-09,Meadow Street,19988.0
Amherst,Roofing,2026-07-08,Aubinwood Road,40395.0
Amherst,Roofing,2026-07-08,High Street,9500.0
Amherst,Roofing,2026-07-08,Wildwood Lane,20492.0
Amherst,Roofing,2026-07-08,South East Street,21510.0
Amherst,Building,2026-07-08,Bay Road,3500.0
Amherst,Roofing,2026-07-08,Middle Street,27435.0
Amherst,Windows/Doors/Siding,2026-07-08,Sunderland Road,11520.0
Amherst,Windows/Doors/Siding,2026-07-08,Mill Lane,16702.0
Amherst,Solar,2026-07-08,Farmington Road,
Amherst,Deck/Porch,2026-07-07,Town Common,
Amherst,Windows/Doors/Siding,2026-07-07,Mill Lane,10393.0
Amherst,Windows/Doors/Siding,2026-07-07,Teaberry Lane,7813.0
Amherst,Windows/Doors/Siding,2026-07-07,Coach Lane,9501.0
Amherst,Windows/Doors/Siding,2026-07-07,Meadow Street,350432.0
Amherst,Building,2026-07-07,Pelham Road,1200.0
Amherst,Solar,2026-07-07,Lantern Lane,
Amherst,Kitchen/Bath,2026-07-07,East Hadley Road,11900.0
Amherst,New Construction,2026-07-07,"Olympia Drive, Unit Bldg",
Amherst,Solar,2026-07-06,Chestnut Street,
Amherst,Building,2026-07-06,Butterfield Terrace,3300.0
Amherst,Roofing,2026-07-06,Farmington Road,10850.0
Amherst,HVAC,2026-07-06,"College Street, Unit Buckley Recital Hall",3600.0
Amherst,Kitchen/Bath,2026-07-06,Foxglove Lane,17873.0
Amherst,Solar,2026-07-06,Stagecoach Road,
Amherst,Solar,2026-07-06,Flat Hills Road,
Amherst,HVAC,2026-07-06,Leverett Road,17500.0
Amherst,Roofing,2026-07-06,South East Street,47900.0
Amherst,Deck/Porch,2026-07-06,"West Street, Unit Red Barn",
Amherst,Electrical,2026-07-02,Hickory Lane,24000.0
Amherst,Renovation/Remodel,2026-07-02,Lilac Lane,18797.32
Amherst,Building,2026-07-02,Mechanic Street,7930.0
Amherst,Roofing,2026-07-02,Chestnut Street,29000.0
Amherst,Windows/Doors/Siding,2026-07-01,"Montague Road, Unit",7200.0
Amherst,Windows/Doors/Siding,2026-07-01,"Montague Road, Unit",6300.0
Amherst,Kitchen/Bath,2026-07-01,Pelham Road,24000.0
Amherst,Building,2026-07-01,North East Street,2236.55
Amherst,Windows/Doors/Siding,2026-07-01,Trillium Way,18917.0
Amherst,Windows/Doors/Siding,2026-07-01,Trillium Way,15845.0
Amherst,Windows/Doors/Siding,2026-07-01,Aubinwood Road,23000.0
Amherst,Building,2026-06-30,Bay Road,793.96
Amherst,Roofing,2026-06-30,Red Fox Lane,23151.0
Amherst,Building,2026-06-30,Northampton Road,74234.0
Amherst,Windows/Doors/Siding,2026-06-30,Woodside Avenue,99910.0
Amherst,Electrical,2026-06-30,"College Street, Unit Buckley Recital Hall",36942.0
Amherst,HVAC,2026-06-30,University Drive,200000.0
Amherst,Demolition,2026-06-29,Market Hill Road,3200.0
Amherst,New Construction,2026-06-29,Montague Road,23000.0
Amherst,Roofing,2026-06-26,Aubinwood Road,15860.0
Amherst,Electrical,2026-06-26,Main Street,164965.0
Amherst,Kitchen/Bath,2026-06-26,Rolling Ridge Road,80695.0
Amherst,Building,2026-06-26,Logtown Road,4000.0
Amherst,Building,2026-06-26,Northampton Road,
Amherst,Roofing,2026-06-25,West Pomeroy Lane,18000.0
Amherst,Solar,2026-06-25,East Pleasant Street,2500.0
Amherst,Roofing,2026-06-25,Gatehouse Road,51100.0
Amherst,Roofing,2026-06-25,Pine Street,15700.0
Amherst,Building,2026-06-25,Middle Street,2000.0
Amherst,Building,2026-06-25,North Pleasant Street,40000.0
Amherst,Building,2026-06-24,Bay Road,3686.1
Amherst,Building,2026-06-24,Old Farm Road,2899.28
Amherst,Roofing,2026-06-24,Pelham Road,9927.0
Amherst,Kitchen/Bath,2026-06-24,College Street,6227.0
Amherst,Deck/Porch,2026-06-24,South East Street,5000.0
Amherst,Deck/Porch,2026-06-24,Chestnut Street,12000.0
Amherst,Building,2026-06-24,Fairfield Street,33500.0
Amherst,Building,2026-06-24,West Street,23400.0
Amherst,HVAC,2026-06-24,Greenwich Road,16441.0
Amherst,Roofing,2026-06-24,Summerfield Road,41302.0
Amherst,HVAC,2026-06-24,"Quadrangle, Unit Seeley Mudd Building",66000.0
Amherst,Building,2026-06-24,Columbia Drive,
Amherst,Renovation/Remodel,2026-06-24,East Pleasant Street,150000.0
Amherst,Electrical,2026-06-24,Cowls Road,8295.0
Amherst,Deck/Porch,2026-06-24,Tracy Circle,52000.0
Amherst,Roofing,2026-06-23,Chestnut Street,4955018.0
Amherst,Building,2026-06-22,Wildflower Drive,2000.0
Amherst,Roofing,2026-06-22,Mill Street,29460.0
Amherst,Sign/Awning,2026-06-22,"Amity Street, Unit",675.0
Amherst,Roofing,2026-06-22,Hickory Lane,78500.0
Amherst,Windows/Doors/Siding,2026-06-18,"Pine Street, Unit",1000.0
Amherst,Building,2026-06-18,Farmington Road,32000.0
Amherst,Building,2026-06-18,Bay Road,4368.75
Amherst,Building,2026-06-18,Montague Road,20445.69
Amherst,Roofing,2026-06-18,"North Pleasant Street, Unit Garfield House, Bld",39999.0
Amherst,Roofing,2026-06-18,Old Farm Road,47212.12
Amherst,Electrical,2026-06-18,East Pleasant Street,33794.0
Amherst,Roofing,2026-06-17,"North Pleasant Street, Unit Madison House, Bld",46999.0
Amherst,Roofing,2026-06-17,"North Pleasant Street, Unit Mckinley House, Bld",46999.0
Amherst,Roofing,2026-06-17,"North Pleasant Street, Unit Washington House, Bld",41999.0
Amherst,Roofing,2026-06-17,"North Pleasant Street, Unit Adams House, Bld",41999.0
Amherst,Building,2026-06-17,Deepwoods Drive,31200.0
Amherst,Roofing,2026-06-17,South Pleasant Street,60000.0
Amherst,Roofing,2026-06-16,"North Pleasant Street, Unit Jefferson House, Bld",39999.0
Amherst,Windows/Doors/Siding,2026-06-16,Market Hill Road,23871.0
Amherst,Windows/Doors/Siding,2026-06-16,Wentworth Manor Drive,13000.0
Amherst,Roofing,2026-06-15,Summer Street,95676.0
Amherst,Roofing,2026-06-15,Stony Hill Road,17600.0
Amherst,Windows/Doors/Siding,2026-06-15,Elf Hill Road,6000.0
Amherst,Roofing,2026-06-15,Pease Place,12000.0
Amherst,Windows/Doors/Siding,2026-06-15,North Pleasant Street,8000.0
Amherst,HVAC,2026-06-12,West Street,9828.0
Amherst,Kitchen/Bath,2026-06-12,Station Road,4700.0
Amherst,Windows/Doors/Siding,2026-06-11,Amity Place,16334.56
Amherst,Building,2026-06-11,South East Street,53420.0
Amherst,Kitchen/Bath,2026-06-11,Teaberry Lane,290000.0
Amherst,New Construction,2026-06-11,University Drive,8000.0
Amherst,Building,2026-06-11,Berkshire Terrace,6900.0
Amherst,Windows/Doors/Siding,2026-06-10,Goldenrod Circle,8000.0
Amherst,Deck/Porch,2026-06-10,Columbia Drive,4000.0
Amherst,Windows/Doors/Siding,2026-06-10,Lincoln Avenue,98000.0
Amherst,Deck/Porch,2026-06-10,Walnut Street,35000.0
Amherst,Windows/Doors/Siding,2026-06-10,Northampton Road,65000.0
Amherst,HVAC,2026-06-10,South East Street,13255.0
Amherst,Solar,2026-06-10,Hunters Hill Circle,
Amherst,Building,2026-06-10,Overlook Drive,3600.0
Amherst,Roofing,2026-06-09,South Orchard Drive,15450.0
Amherst,Kitchen/Bath,2026-06-09,Bay Road,13416.0
Amherst,Kitchen/Bath,2026-06-09,Deepwoods Drive,28711.52
Amherst,Windows/Doors/Siding,2026-06-09,Harlow Drive,3200.0
Amherst,Windows/Doors/Siding,2026-06-09,Fearing Street,6906.0
Amherst,HVAC,2026-06-09,Bay Road,25500.0
Amherst,Roofing,2026-06-09,"Northampton Road, Unit Newport House",24043.0
Amherst,HVAC,2026-06-09,Hop Brook Road,4500.0
Amherst,Roofing,2026-06-09,West Street,9699.0
Amherst,Windows/Doors/Siding,2026-06-09,Emerson Court,11657.0
Amherst,Building,2026-06-09,Winston Court,2500.0
Amherst,Roofing,2026-06-08,Dana Street,11094.0
Amherst,Deck/Porch,2026-06-08,Station Road,31000.0
Amherst,Roofing,2026-06-08,Crossbrook,18000.0
