town,trade,issued_date,street_masked,valuation
Hadley,Windows/Doors/Siding,2026-09-10,Woodlawn Rd,
Hadley,Roofing,2026-09-10,East St,
Hadley,Demolition,2026-09-10,So Maple St,
Hadley,Roofing,2026-09-10,Norwottuck Dr,
Hadley,Plumbing,2026-09-09,East St,
Hadley,Windows/Doors/Siding,2026-09-09,River Dr,
Hadley,Renovation/Remodel,2026-09-09,River Dr,
Hadley,Building,2026-09-09,River Dr,
Hadley,Plumbing,2026-09-09,Rocky Hill Rd,
Hadley,Plumbing,2026-09-09,Sylvia Ht,
Hadley,HVAC,2026-09-09,Mt Warner Rd,
Hadley,Windows/Doors/Siding,2026-09-09,West St,
Hadley,Gas,2026-09-09,Russell St,
Hadley,Roofing,2026-09-08,Rocky Hill Rd,
Hadley,Kitchen/Bath,2026-09-08,Rocky Hill Rd,
Hadley,Roofing,2026-09-08,Bay Rd,
Hadley,Deck/Porch,2026-09-02,Russell St,
Hadley,Windows/Doors/Siding,2026-09-02,Hockanum Rd,
Hadley,HVAC,2026-09-02,Russell St,
Hadley,Other,2026-09-01,Bay Rd,
Hadley,HVAC,2026-09-01,River Dr,
Hadley,Electrical,2026-09-01,Russell St,
Hadley,Electrical,2026-09-01,So Maple St - Unit,
