town,trade,issued_date,street_masked,valuation
Wenham,Building,2026-09-08,Lake Avenue,
Wenham,Building,2026-09-08,Cherry St,
Wenham,Electrical,2026-09-08,Cedar Street,
Wenham,Plumbing,2026-09-03,Pleasant Street,
Wenham,Gas,2026-09-03,Pleasant Street,
Wenham,Electrical,2026-09-02,Arbor St,
Wenham,Plumbing,2026-09-02,Larch Row,
Wenham,New Construction,2026-09-02,Grapevine Rd,
Wenham,Windows/Doors/Siding,2026-09-01,Main St,
Wenham,HVAC,2026-08-31,Juniper Street,
Wenham,Roofing,2026-08-27,Puritan Road,
Wenham,Kitchen/Bath,2026-08-27,Porter Street,
Wenham,Electrical,2026-08-27,Pleasant Street,
Wenham,Electrical,2026-08-26,Grapevine Rd,
Wenham,Electrical,2026-08-25,Grapevine Rd,
Wenham,Plumbing,2026-08-25,Burnham Road,
Wenham,Electrical,2026-08-24,Onion River Road,
Wenham,Gas,2026-08-24,Spring Hill Farm Road,
Wenham,Plumbing,2026-08-24,Mayflower Drive,
Wenham,Windows/Doors/Siding,2026-08-18,Daniels Road,
Wenham,Windows/Doors/Siding,2026-08-17,Main Drive,
Wenham,Plumbing,2026-08-13,Main Drive,
Wenham,Electrical,2026-08-12,Main St,
Wenham,HVAC,2026-08-12,Old Country Road,
Wenham,Electrical,2026-08-12,Walnut Rd,
