town,trade,issued_date,street_masked,valuation
Mission Hill,Electrical,2026-08-06,Parker Hill Av,338.75
Mission Hill,Electrical,2026-08-05,Eldora St,31728.49
Mission Hill,Electrical,2026-08-05,Heath St,15000.0
Mission Hill,Electrical,2026-08-04,Tremont St,3500.0
Mission Hill,HVAC,2026-08-04,Oswald St,22000.0
Mission Hill,Windows/Doors/Siding,2026-08-04,Delle Av,31500.0
Mission Hill,Electrical,2026-08-03,Ruggles St,5000.0
Mission Hill,Electrical,2026-07-31,Eldora St,5000.0
Mission Hill,Plumbing,2026-07-30,Terrace St,1500.0
Mission Hill,Roofing,2026-07-30,Columbus Av,5000.0
Mission Hill,Roofing,2026-07-30,Parker Hill Av,1462500.0
Mission Hill,HVAC,2026-07-29,Heath St,499991.0
Mission Hill,Demolition,2026-07-29,Alleghany St,120739.0
Mission Hill,Plumbing,2026-07-29,Heath St,400.0
Mission Hill,HVAC,2026-07-28,Parker St,7000.0
Mission Hill,HVAC,2026-07-28,Kenney St,21000.0
Mission Hill,New Construction,2026-07-28,Huntington Av,6222.5
Mission Hill,Electrical,2026-07-28,Delle Av,4000.0
Mission Hill,HVAC,2026-07-28,Parker Hill Av,76000.0
Mission Hill,Electrical,2026-07-28,Smith St,500.0
Mission Hill,Kitchen/Bath,2026-07-27,Tremont St,4200.0
Mission Hill,Electrical,2026-07-25,Eldora St,4000.0
Mission Hill,New Construction,2026-07-23,Heath St,21550.0
Mission Hill,New Construction,2026-07-23,Terrace St,18749474.0
Mission Hill,Roofing,2026-07-22,Heath St,5000.0
Mission Hill,Plumbing,2026-07-22,Eldora St,40000.0
Mission Hill,Gas,2026-07-21,Gurney St,540.0
Mission Hill,Electrical,2026-07-21,Eldora St,52000.0
Mission Hill,Electrical,2026-07-21,Eldora St,4000.0
Mission Hill,Roofing,2026-07-21,Columbus Av,1411000.0
Mission Hill,Plumbing,2026-07-16,Heath St,15000.0
Mission Hill,Electrical,2026-07-15,Huntington Av,74740.0
Mission Hill,Renovation/Remodel,2026-07-15,Heath St,20000.0
Mission Hill,Plumbing,2026-07-14,Tremont St,550.0
Mission Hill,Windows/Doors/Siding,2026-07-10,Terrace St,15000.0
Mission Hill,Electrical,2026-07-09,Columbus Av,25000.0
Mission Hill,Electrical,2026-07-09,Tremont St,3500.0
Mission Hill,Electrical,2026-07-09,Columbus Av,15000.0
Mission Hill,Electrical,2026-07-09,Columbus Av,2500.0
Mission Hill,Electrical,2026-07-09,Columbus Av,14000.0
Mission Hill,Gas,2026-07-08,Delle Av,500.0
Mission Hill,Electrical,2026-07-07,Columbus Av,1500.0
Mission Hill,Electrical,2026-07-07,Oswald St,26000.0
Mission Hill,Roofing,2026-07-06,Worthington St,14660.0
Mission Hill,Electrical,2026-07-02,Tremont St,2800.0
Mission Hill,Plumbing,2026-07-02,Huntington Av,28000.0
Mission Hill,Electrical,2026-07-01,Huntington Av,37000.0
Mission Hill,Plumbing,2026-07-01,Oswald St,24000.0
Mission Hill,Other,2026-06-30,Ruggles St,1200.0
Mission Hill,Roofing,2026-06-29,Tremont St,5000.0
Mission Hill,HVAC,2026-06-29,Calumet St,85000.0
Mission Hill,Renovation/Remodel,2026-06-29,Fisher Av,9500.0
Mission Hill,Electrical,2026-06-26,Heath St,19500.0
Mission Hill,Plumbing,2026-06-25,Parker Hill Av,5100.0
Mission Hill,Other,2026-06-24,Worthington St,32225.0
Mission Hill,Roofing,2026-06-24,Huntington Av,8000.0
Mission Hill,Renovation/Remodel,2026-06-23,Alleghany St,5000.0
Mission Hill,Renovation/Remodel,2026-06-22,Tremont St,30000.0
Mission Hill,Electrical,2026-06-22,Smith St,1585.0
Mission Hill,Electrical,2026-06-18,Columbus Av,79280.0
Mission Hill,Electrical,2026-06-18,Columbus Av,82645.0
Mission Hill,Fire/Sprinkler,2026-06-18,Huntington Av,215410.0
Mission Hill,Electrical,2026-06-18,Calumet St,4500.0
Mission Hill,Electrical,2026-06-18,Calumet St,30000.0
Mission Hill,Electrical,2026-06-18,Calumet St,10500.0
Mission Hill,Gas,2026-06-17,Columbus Av,3645.0
Mission Hill,HVAC,2026-06-17,Calumet St,4500.0
Mission Hill,Plumbing,2026-06-17,Calumet St,25000.0
Mission Hill,Electrical,2026-06-16,Heath St,1500.0
Mission Hill,Roofing,2026-06-16,Parker St,51590.0
Mission Hill,Other,2026-06-16,Fisher Av,750.0
Mission Hill,Electrical,2026-06-15,Dewitt Dr,750.0
Mission Hill,Building,2026-06-11,Columbus Av,150.0
Mission Hill,Plumbing,2026-06-10,Eldora St,60000.0
